Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
227, 1, Operation Attack Barb Camp running
227, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
264, 2, City Defense, Started
264, 2, Operation Wartime Attack Walled City running
264, 2, Wartime Attack Walled City, ,0, Not Ready, 
264, 2, Operation Wartime Attack Walled City running
264, 2, Wartime Attack Walled City, ,0, Not Ready, 
264, 2, Wartime Attack Walled City, ,1, Ready, 
264, 2, Operation Wartime Attack Walled City running
264, 2, Wartime Attack Walled City, ,0, Not Ready, 
264, 2, Wartime Attack Walled City, ,1, Ready, 
264, 2, Operation Naval Superiority running
264, 2, Naval Superiority, ,0, Not Ready, 
264, 2, Operation Settle New City running
264, 2, Settle New City, ,0, Not Ready, 
264, 2, Operation City Defense running
264, 2, City Defense, ,0, Ready, 
264, 2, City Defense, No recruits to reach minimum, , , 
264, 2, City Defense, No recruits to match strength, , Enemy Str: 95.0, 
264, 2, City Defense, No recruits to reach minimum, , , 
264, 2, City Defense, No recruits to match strength, , Enemy Str: 95.0, 
264, 2, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
264, 2, City Defense, Operation complete
264, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
264, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
264, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
264, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
264, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
264, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
264, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
264, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
264, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
264, 2, Naval Superiority, No recruits to reach minimum, , , 
264, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
264, 3, City Defense, Started
264, 3, Operation City Defense running
264, 3, City Defense, ,0, Not Ready, 
264, 3, Operation Settle New City running
264, Settle New City, 3, , Battle line, 7:29, 0 endangered
264, 3, Settle New City, ,0, Not Ready, UNIT_SETTLER; 
264, 3, Operation Naval Superiority running
264, 3, Naval Superiority, ,0, Not Ready, 
264, 3, City Defense, No recruits to reach minimum, , , 
264, 3, City Defense, No recruits to match strength, , Enemy Str: 88.0, 
264, 3, City Defense, No recruits to reach minimum, , , 
264, 3, City Defense, No recruits to match strength, , Enemy Str: 88.0, 
264, 3, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_TREBUCHET
264, 3, Settle New City, No recruits to reach minimum, , , 
264, 3, Settle New City, No recruits to match strength, , Enemy Str: 35.0, 
264, 3, Settle New City, No recruits to reach minimum, , , 
264, 3, Settle New City, No recruits to match strength, , Enemy Str: 35.0, 
264, 3, Settle New City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_TREBUCHET
264, 3, Settle New City, Operation Move, UNIT_SETTLER, 8:28, 66:12, 6:29
264, 3, City Defense, Operation complete
264, 3, Naval Superiority, No recruits to reach minimum, , , 
264, 3, Naval Superiority, No recruits to reach minimum, , , 
264, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
264, 4, Operation Attack Walled City running
264, 4, Attack Walled City, ,0, Not Ready, 
264, 4, Attack Walled City, ,1, Ready, 
264, 4, Operation Settle New City running
264, 4, Settle New City, ,0, Not Ready, 
264, 4, Operation Naval Superiority running
264, 4, Naval Superiority, ,0, Not Ready, 
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_KNIGHT
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_MUSKETMAN
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_KNIGHT
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_MUSKETMAN
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
264, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
264, 4, Attack Walled City, No recruits to reach minimum, , , 
264, 4, Attack Walled City, No recruits to match strength, , Enemy Str: 96.0, 
264, 4, Attack Walled City, No recruits to reach minimum, , , 
264, 4, Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_MUSKETMAN
264, 4, Attack Walled City, Operation Move, UNIT_MUSKETMAN, 65:33, 65:33, 65:33
264, 4, Attack Walled City, Operation Move, UNIT_KNIGHT, 63:33, 64:33, 64:33
264, 4, Attack Walled City, Operation Move, UNIT_BOMBARD, 60:35, 63:33, 61:35
264, 4, Naval Superiority, No recruits to reach minimum, , , 
264, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_MUSKETMAN
264, 5, Operation Settle New City running
264, Settle New City, 5, , Battle line, 28:31, 0 endangered
264, 5, Settle New City, ,0, Ready, UNIT_CHINESE_CROUCHING_TIGER; UNIT_SETTLER; 
264, 5, Operation Naval Superiority running
264, 5, Naval Superiority, ,0, Not Ready, 
264, 5, Attack Barb Camp, Started
264, 5, Settle New City, No recruits to reach minimum, , , 
264, 5, Settle New City, No recruits to match strength, , Enemy Str: 45.0, 
264, 5, Settle New City, No recruits to reach minimum, , , 
264, 5, Settle New City, No recruits to match strength, , Enemy Str: 45.0, 
264, 5, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_CROSSBOWMAN
264, 5, Settle New City, Operation Move, UNIT_SETTLER, 32:38, 32:39, 32:39
264, 5, Settle New City, Operation Move, UNIT_CHINESE_CROUCHING_TIGER, 29:32, 32:38, 30:34
264, 5, Settle New City, Operation complete
264, 5, Attack Barb Camp, Recruiting minimums, , , UNIT_CHINESE_CROUCHING_TIGER
264, 5, Attack Barb Camp, No recruits to reach minimum, , , 
264, Attack Barb Camp, 5, , Battle line, 23:27, 0 endangered
264, 5, Attack Barb Camp, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_PIKEMAN
264, 5, Attack Barb Camp, Operation Move, UNIT_CHINESE_CROUCHING_TIGER, 23:29, 23:29, 23:29
264, 5, Naval Superiority, No recruits to reach minimum, , , 
264, 5, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
264, 6, Operation Naval Superiority running
264, 6, Naval Superiority, ,0, Ready, UNIT_CARAVEL; 
264, 6, Operation Attack Barb Camp running
264, 6, Attack Barb Camp, ,0, Not Ready, UNIT_CROSSBOWMAN; 
264, 6, Attack Barb Camp, No recruits to reach minimum, , , 
264, 6, Attack Barb Camp, No recruits to reach minimum, , , 
264, 6, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
264, 6, Attack Barb Camp, Operation Move, UNIT_CROSSBOWMAN, 68:35, 68:35, 68:35
264, 6, Naval Superiority, No recruits to reach minimum, , , 
264, 6, Naval Superiority, No recruits to match strength, , Enemy Str: 165.0, 
264, 6, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_CARAVEL
264, 8, Operation Naval Superiority running
264, 8, Naval Superiority, ,0, Not Ready, 
264, 8, Naval Superiority, No recruits to reach minimum, , , 
264, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
264, 11, Operation Naval Superiority running
264, 11, Naval Superiority, ,0, Not Ready, 
264, 11, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
264, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
264, Naval Superiority, 11, , Battle line, 17:30, 0 endangered
264, 11, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
264, 12, Operation Naval Superiority running
264, 12, Naval Superiority, ,0, Not Ready, 
264, 12, Naval Superiority, No recruits to reach minimum, , , 
264, 12, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
264, 13, Operation Naval Superiority running
264, 13, Naval Superiority, ,0, Not Ready, 
264, 13, Operation Attack Enemy City running
264, Attack Enemy City, 13, , Battle line, 17:27, 0 endangered
264, 13, Attack Enemy City, ,0, Not Ready, UNIT_CROSSBOWMAN; UNIT_PIKEMAN; UNIT_CROSSBOWMAN; 
264, 13, Operation Attack Barb Camp running
264, 13, Attack Barb Camp, ,0, Not Ready, 
264, 13, Attack Enemy City, No recruits to reach minimum, , , 
264, 13, Attack Enemy City, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_TREBUCHET
264, 13, Attack Enemy City, Operation Move, UNIT_PIKEMAN, 17:28, 17:28, 17:28
264, 13, Attack Enemy City, Operation Move, UNIT_CROSSBOWMAN, 18:29, 18:29, 18:29
264, 13, Attack Enemy City, Operation Move, UNIT_CROSSBOWMAN, 18:30, 18:30, 18:30
264, 13, Attack Barb Camp, No recruits to reach minimum, , , 
264, 13, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_TREBUCHET
264, 13, Naval Superiority, No recruits to reach minimum, , , 
264, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
264, 14, Operation Naval Superiority running
264, 14, Naval Superiority, ,0, Not Ready, 
264, 14, Attack Enemy City, Started
264, 14, Attack Enemy City, Recruiting minimums, , , UNIT_TREBUCHET
264, 14, Attack Enemy City, Recruiting minimums, , , UNIT_PIKEMAN
264, 14, Attack Enemy City, Recruiting minimums, , , UNIT_PIKEMAN
264, 14, Attack Enemy City, Recruiting minimums, , , UNIT_PIKEMAN
264, 14, Attack Enemy City, Recruiting minimums, , , UNIT_PIKEMAN
264, Attack Enemy City, 14, , Battle line, 15:23, 0 endangered
264, 14, Attack Enemy City, Operation Recruit, 3 units, Recruited 3, Contract for: UNIT_CROSSBOWMAN
264, 14, Attack Enemy City, Operation Move, UNIT_PIKEMAN, 13:21, 13:21, 13:21
264, 14, Attack Enemy City, Operation Move, UNIT_TREBUCHET, 16:20, 15:21, 15:21
264, 14, Attack Enemy City, Operation Move, UNIT_PIKEMAN, 16:23, 14:21, 15:22
264, 14, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
264, 14, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
264, 14, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
264, 63, Operation Barbarian City Assault running
264, 63, Barbarian City Assault, ,0, Not Ready, 
264, 63, Operation Barbarian City Assault running
264, 63, Barbarian City Assault, ,0, Not Ready, 
264, 63, Operation Barbarian Attack running
264, 63, Barbarian Attack, ,0, Not Ready, 
264, 63, Operation Barbarian City Assault running
264, 63, Barbarian City Assault, ,0, Not Ready, 
264, 63, Operation Barbarian City Assault running
264, 63, Barbarian City Assault, ,0, Not Ready, 
264, 63, Operation Barbarian Attack running
264, 63, Barbarian Attack, ,0, Not Ready, 
264, 63, Operation Barbarian City Assault running
264, 63, Barbarian City Assault, ,0, Not Ready, 
264, 63, Operation Barbarian Attack running
264, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
264, 63, Operation Barbarian Attack running
264, 63, Barbarian Attack, ,0, Not Ready, 
264, 63, Operation Barbarian City Assault running
264, 63, Barbarian City Assault, ,0, Not Ready, 
264, 63, Barbarian Attack, Operation Move, UNIT_ARCHER, 66:4, 66:4, 66:4
264, 63, Barbarian Builder Capture, Started
265, 1, Operation Attack Barb Camp running
265, Attack Barb Camp, 1, , Battle line, 60:31, 0 endangered
265, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
265, 1, Operation Settle New City running
265, 1, Settle New City, ,0, Not Ready, UNIT_SETTLER; 
265, 1, Settle New City, No recruits to reach minimum, , , 
265, 1, Settle New City, No recruits to match strength, , Enemy Str: 45.0, 
265, 1, Settle New City, No recruits to reach minimum, , , 
265, 1, Settle New City, No recruits to match strength, , Enemy Str: 45.0, 
265, 1, Settle New City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
265, 1, Settle New City, Operation Move, UNIT_SETTLER, 54:21, 64:13, 55:18
265, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARTILLERY
265, 1, Attack Barb Camp, Attack Target Move Direct, UNIT_SPEARMAN, At 61:31, Move -9999:-9999, Arrive 62:33
265, 2, City Defense, Started
265, 2, Operation Wartime Attack Walled City running
265, 2, Wartime Attack Walled City, ,0, Not Ready, 
265, 2, Operation Wartime Attack Walled City running
265, 2, Wartime Attack Walled City, ,0, Not Ready, 
265, 2, Wartime Attack Walled City, ,1, Ready, 
265, 2, Operation Wartime Attack Walled City running
265, 2, Wartime Attack Walled City, ,0, Not Ready, 
265, 2, Wartime Attack Walled City, ,1, Ready, 
265, 2, Operation Naval Superiority running
265, 2, Naval Superiority, ,0, Not Ready, 
265, 2, Operation Settle New City running
265, 2, Settle New City, ,0, Not Ready, 
265, 2, Operation City Defense running
265, 2, City Defense, ,0, Ready, 
265, 2, City Defense, No recruits to reach minimum, , , 
265, 2, City Defense, No recruits to match strength, , Enemy Str: 98.0, 
265, 2, City Defense, No recruits to reach minimum, , , 
265, 2, City Defense, No recruits to match strength, , Enemy Str: 98.0, 
265, 2, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
265, 2, City Defense, Operation complete
265, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
265, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
265, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
265, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
265, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
265, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
265, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
265, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
265, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
265, 2, Naval Superiority, No recruits to reach minimum, , , 
265, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
265, 2, Wartime Attack Walled City, Operation complete
265, 13, Attack Enemy City, Operation complete
265, 3, City Defense, Started
265, 3, Operation City Defense running
265, 3, City Defense, ,0, Not Ready, 
265, 3, Operation Settle New City running
265, 3, Settle New City, ,0, Not Ready, 
265, 3, Operation Naval Superiority running
265, 3, Naval Superiority, ,0, Not Ready, 
265, 3, City Defense, No recruits to reach minimum, , , 
265, 3, City Defense, No recruits to match strength, , Enemy Str: 88.0, 
265, 3, City Defense, No recruits to reach minimum, , , 
265, 3, City Defense, No recruits to match strength, , Enemy Str: 88.0, 
265, 3, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_TREBUCHET
265, 3, Settle New City, Operation Change Target MISSING REQURED UNIT
265, 3, City Defense, Operation complete
265, 3, Settle New City, Operation complete
265, 3, Naval Superiority, No recruits to reach minimum, , , 
265, 3, Naval Superiority, No recruits to reach minimum, , , 
265, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
265, 4, Operation Attack Walled City running
265, 4, Attack Walled City, ,0, Not Ready, 
265, 4, Attack Walled City, ,1, Ready, 
265, 4, Operation Settle New City running
265, 4, Settle New City, ,0, Not Ready, 
265, 4, Operation Naval Superiority running
265, 4, Naval Superiority, ,0, Not Ready, 
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_KNIGHT
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_MUSKETMAN
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_KNIGHT
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_MUSKETMAN
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
265, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
265, 4, Attack Walled City, No recruits to reach minimum, , , 
265, 4, Attack Walled City, No recruits to match strength, , Enemy Str: 96.0, 
265, 4, Attack Walled City, No recruits to reach minimum, , , 
265, 4, Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_MUSKETMAN
265, 4, Attack Walled City, Operation Move, UNIT_MUSKETMAN, 65:33, 65:33, 65:33
265, 4, Attack Walled City, Operation Move, UNIT_KNIGHT, 64:33, 64:33, 64:33
265, 4, Attack Walled City, Operation Move, UNIT_BOMBARD, 61:35, 63:33, 62:35
265, 4, Naval Superiority, No recruits to reach minimum, , , 
265, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_MUSKETMAN
265, 5, Settle New City, Started
265, 5, Operation Attack Barb Camp running
265, Attack Barb Camp, 5, , Battle line, 23:27, 0 endangered
265, 5, Attack Barb Camp, ,0, Not Ready, UNIT_CHINESE_CROUCHING_TIGER; 
265, 5, Operation Settle New City running
265, 5, Settle New City, ,0, Not Ready, 
265, 5, Operation Naval Superiority running
265, 5, Naval Superiority, ,0, Not Ready, 
265, Attack Barb Camp, 5, , Battle line, 23:27, 0 endangered
265, 5, Attack Barb Camp, No recruits to reach minimum, , , 
265, 5, Attack Barb Camp, No recruits to reach minimum, , , 
265, Attack Barb Camp, 5, , Battle line, 23:27, 0 endangered
265, 5, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
265, 5, Attack Barb Camp, Operation Move, UNIT_CHINESE_CROUCHING_TIGER, 23:29, 23:29, 23:29
265, 5, Naval Superiority, No recruits to reach minimum, , , 
265, 5, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
265, 6, Operation Naval Superiority running
265, 6, Naval Superiority, ,0, Ready, UNIT_CARAVEL; 
265, 6, Operation Attack Barb Camp running
265, 6, Attack Barb Camp, ,0, Not Ready, UNIT_CROSSBOWMAN; 
265, 6, Attack Barb Camp, No recruits to reach minimum, , , 
265, 6, Attack Barb Camp, No recruits to reach minimum, , , 
265, 6, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
265, 6, Attack Barb Camp, Operation Move, UNIT_CROSSBOWMAN, 68:35, 68:35, 68:35
265, 6, Naval Superiority, No recruits to reach minimum, , , 
265, 6, Naval Superiority, No recruits to match strength, , Enemy Str: 165.0, 
265, 6, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_CARAVEL
265, 8, Operation Naval Superiority running
265, 8, Naval Superiority, ,0, Not Ready, 
265, 8, Naval Superiority, No recruits to reach minimum, , , 
265, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
265, 11, Operation Naval Superiority running
265, 11, Naval Superiority, ,0, Not Ready, 
265, 11, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
265, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
265, Naval Superiority, 11, , Battle line, 18:30, 0 endangered
265, 11, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
265, 12, Operation Naval Superiority running
265, 12, Naval Superiority, ,0, Not Ready, 
265, 12, Naval Superiority, No recruits to reach minimum, , , 
265, 12, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
265, 13, Operation Naval Superiority running
265, 13, Naval Superiority, ,0, Not Ready, 
265, 13, Operation Attack Barb Camp running
265, 13, Attack Barb Camp, ,0, Not Ready, 
265, 13, Attack Barb Camp, Operation complete
265, 13, Naval Superiority, No recruits to reach minimum, , , 
265, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
265, 14, Operation Naval Superiority running
265, 14, Naval Superiority, ,0, Not Ready, 
265, 14, Operation Attack Enemy City running
265, Attack Enemy City, 14, , Battle line, 15:23, 0 endangered
265, 14, Attack Enemy City, ,0, Not Ready, UNIT_TREBUCHET; UNIT_PIKEMAN; UNIT_PIKEMAN; 
265, Attack Enemy City, 14, , Battle line, 15:23, 0 endangered
265, 14, Attack Enemy City, No recruits to reach minimum, , , 
265, Attack Enemy City, 14, , Battle line, 15:23, 0 endangered
265, 14, Attack Enemy City, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_CROSSBOWMAN
265, 14, Attack Enemy City, Operation Move, UNIT_PIKEMAN, 15:22, 14:22, 14:22
265, 14, Attack Enemy City, Operation Move, UNIT_PIKEMAN, 13:21, 13:21, 13:21
265, 14, Attack Enemy City, Operation Move, UNIT_TREBUCHET, 15:21, 15:21, 15:21
265, 14, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
265, 14, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
265, 14, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
265, 63, Operation Barbarian City Assault running
265, 63, Barbarian City Assault, ,0, Not Ready, 
265, 63, Operation Barbarian City Assault running
265, 63, Barbarian City Assault, ,0, Not Ready, 
265, 63, Operation Barbarian Attack running
265, 63, Barbarian Attack, ,0, Not Ready, 
265, 63, Operation Barbarian City Assault running
265, 63, Barbarian City Assault, ,0, Not Ready, 
265, 63, Operation Barbarian City Assault running
265, 63, Barbarian City Assault, ,0, Not Ready, 
265, 63, Operation Barbarian Attack running
265, 63, Barbarian Attack, ,0, Not Ready, 
265, 63, Operation Barbarian City Assault running
265, 63, Barbarian City Assault, ,0, Not Ready, 
265, 63, Operation Barbarian Attack running
265, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
265, 63, Operation Barbarian Attack running
265, 63, Barbarian Attack, ,0, Not Ready, 
265, 63, Operation Barbarian City Assault running
265, 63, Barbarian City Assault, ,0, Not Ready, 
265, 63, Operation Barbarian Builder Capture running
265, Barbarian Builder Capture, 63, , Battle line, 536870919:28, 0 endangered
265, 63, Barbarian Builder Capture, ,0, Ready, UNIT_SETTLER; UNIT_MUSKETMAN; 
265, 63, Barbarian Attack, Operation Move, UNIT_ARCHER, 66:4, 66:4, 66:4
265, 63, Barbarian Builder Capture, Operation Change Target WEAK, Changing to backup
265, 63, Barbarian Builder Capture, Operation Move, UNIT_SETTLER, 6:29, 3:31, 6:29
265, 63, Barbarian Builder Capture, Operation Move, UNIT_MUSKETMAN, 6:29, 3:31, 6:29
266, 1, Operation Attack Barb Camp running
266, Attack Barb Camp, 1, , Battle line, 61:32, 0 endangered
266, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
266, 1, Operation Settle New City running
266, 1, Settle New City, ,0, Not Ready, UNIT_SETTLER; 
266, 1, Settle New City, No recruits to reach minimum, , , 
266, 1, Settle New City, No recruits to match strength, , Enemy Str: 45.0, 
266, 1, Settle New City, No recruits to reach minimum, , , 
266, 1, Settle New City, No recruits to match strength, , Enemy Str: 45.0, 
266, 1, Settle New City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
266, 1, Settle New City, Operation Move, UNIT_SETTLER, 55:18, 64:13, 55:17
266, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARTILLERY
266, 1, Attack Barb Camp, Attack Target Move Direct, UNIT_SPEARMAN, At 62:33, Move -9999:-9999, Arrive 63:34
266, 2, City Defense, Started
266, 2, Operation Wartime Attack Walled City running
266, 2, Wartime Attack Walled City, ,0, Not Ready, 
266, 2, Operation Wartime Attack Walled City running
266, 2, Wartime Attack Walled City, ,0, Not Ready, 
266, 2, Wartime Attack Walled City, ,1, Ready, 
266, 2, Operation Naval Superiority running
266, 2, Naval Superiority, ,0, Not Ready, 
266, 2, Operation Settle New City running
266, 2, Settle New City, ,0, Not Ready, 
266, 2, Operation City Defense running
266, 2, City Defense, ,0, Ready, 
266, 2, Attack Barb Camp, Started
266, 2, City Defense, No recruits to reach minimum, , , 
266, 2, City Defense, No recruits to match strength, , Enemy Str: 100.0, 
266, 2, City Defense, No recruits to reach minimum, , , 
266, 2, City Defense, No recruits to match strength, , Enemy Str: 100.0, 
266, 2, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
266, 2, City Defense, Operation complete
266, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
266, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
266, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
266, 2, Attack Barb Camp, No recruits to reach minimum, , , 
266, 2, Attack Barb Camp, No recruits to reach minimum, , , 
266, 2, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
266, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
266, 2, Wartime Attack Walled City, No recruits to reach minimum, , , 
266, 2, Wartime Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AT_CREW
266, 2, Naval Superiority, No recruits to reach minimum, , , 
266, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
266, 3, Settle New City, Started
266, 3, City Defense, Started
266, 3, Operation City Defense running
266, 3, City Defense, ,0, Not Ready, 
266, 3, Operation Settle New City running
266, 3, Settle New City, ,0, Not Ready, 
266, 3, Operation Naval Superiority running
266, 3, Naval Superiority, ,0, Not Ready, 
266, 3, City Defense, No recruits to reach minimum, , , 
266, 3, City Defense, No recruits to match strength, , Enemy Str: 87.0, 
266, 3, City Defense, No recruits to reach minimum, , , 
266, 3, City Defense, No recruits to match strength, , Enemy Str: 87.0, 
266, 3, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_TREBUCHET
266, 3, City Defense, Operation complete
266, 3, Naval Superiority, No recruits to reach minimum, , , 
266, 3, Naval Superiority, No recruits to reach minimum, , , 
266, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
266, 4, Operation Attack Walled City running
266, 4, Attack Walled City, ,0, Not Ready, 
266, 4, Attack Walled City, ,1, Ready, 
266, 4, Operation Settle New City running
266, 4, Settle New City, ,0, Not Ready, 
266, 4, Operation Naval Superiority running
266, 4, Naval Superiority, ,0, Not Ready, 
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_KNIGHT
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_MUSKETMAN
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_KNIGHT
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_MUSKETMAN
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
266, 4, Attack Walled City, Recruiting minimums, , , UNIT_BOMBARD
266, 4, Attack Walled City, No recruits to reach minimum, , , 
266, 4, Attack Walled City, No recruits to match strength, , Enemy Str: 96.0, 
266, 4, Attack Walled City, No recruits to reach minimum, , , 
266, 4, Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_MUSKETMAN
266, 4, Attack Walled City, Operation Move, UNIT_MUSKETMAN, 65:33, 65:33, 65:33
266, 4, Attack Walled City, Operation Move, UNIT_KNIGHT, 64:33, 64:33, 64:33
266, 4, Attack Walled City, Operation Move, UNIT_BOMBARD, 62:35, 63:33, 62:34
266, 4, Naval Superiority, No recruits to reach minimum, , , 
266, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_MUSKETMAN
266, 5, Operation Attack Barb Camp running
